,OBJET,Nom,Description,Image,Type de vêtement,Type de qualité,Fiche,
Paléolithique supérieur,Bonnet de coquillages,bonnetcoq,Reconstitution d'un bonnet du Paléo Sup,bonnetcoq.png,Tête,Bon,"Reconstitution d'un bonnet couvert de coquillages et craches de cerf perforés inspiré de la sépulture de la grotte de Cavillon (Italie, environ 24000 ans BP) et de la coiffe de la tête sculptée dite ""Dame à la Capuche"" de grotte du Pape (Brassempouy, vers 28000 ans BP).",Validé
,Collier coquillages et dents,colliercoq,Reconstitution d'un coliier paléo sup,colliercoq.png,Cou,Bon,"Reconstitution d'un collier de coquillages et de dents d'animaux du Paléolithique supérieur. Nos ancêtres appréciaient particulièrement les craches de cervidés (canines arrondies) et les littorines (espèce de petit ""bigornot"" coloré).",Validé
,Haut brodé de parures paléo,hautbrodeparures,Reconstitution d'un haut en peau animale et brodé de parures paléo sup,hautbrodeparures.png,Haut,Bon,"Anorak brodé de perles et de rondelles découpés, inspiré de la reconstitution du musée des Eyzies. Les ornements découvertes dans certaines sépultures et habitats du Paléolithique supérieur démontrent que nos ancêtres portaient des parures élaborées.",Validé (revoir couleurs)
,Bas brodé de parures paléo,basbrodeparures,Reconstitution d'un bas en peau animaleà partir traditions inuits,basbrodeparures.png,Bas / pieds,Bon,"Bas et bottes en cuir de renne inspirées des vêtements et mukluks en peau de caribou fabriqués par les peuples inuits de l'Arctique. En effet, nos ancêtres du Paléolithique supérieur ont vécu la fin de la période glaciaire (glaciation de Würm) dans un climat oscillant entre période froides et périodes plus tempérées.",Validé
,Sagaie et propulseur sculpté,sagaieetpropulseur,Sagaie et propulseur sculpté,sagaieetpropulseur.png,Accessoire,Bon,"Reconstitution d'une sagaie et de son propulseur. Le propulseur permet d'accroître la portée et la puissance de la sagaie. Cet outil ingénieux apparaît dès la période du Solutréen. Nos ancêtres sculptaient son extrémité de figures animales (bouquetin, cheval, etc.)",Validé
Préhistoire cinéma,Chevelure hisurte,chevelurehisurte,Chevelure hisurte avec os,chevelurehisurte.png,Tête,Humour,,Validé
,Foulard effiloché,foulardeffiloche,Foulard des Pierre à feu,foulardeffiloche.png,Cou,Humour,,Validé
,Bikini en peau,bikinienpeau,Bikini en peau 1 million BC,bikinienpeau.png,Haut,Humour,,Validé
,Slip en peau de léopard,slipleopard,Slip en peau de léopard,slipleopard.png,Bas / pieds,Humour,,Validé
,Massue,massue,Massue avec des pics,massue.png,Accessoire,Humour,,Validé
Hoplite Grèce Antique,Casque Corinthien,casquecorinth,Haume d'Hoplite (Grèce antique),casquecorinth.png,Tête,Anachronique,"Le casque Corinthien est une protection en bronze caractéristique porté par les hoplites. Les hoplites sont des soldats de la Grèce Antique qui possédaient une armure de bronze ou de cuir et diverses armes (épée courte, lance, bouclier).",Validé
,Armure hoplite,armurehoplite,Armure d'Hoplite (Grèce antique),armurehoplite,Haut,Anachronique,"Les hoplites, guerriers de la Grèce Antique, possédaient une armure de torse en bronze ou en cuir.",
,Chiton et cnémides,chitoncnemides,Chiton (Grèce antique) et Cnémides (protège tibia en bronze) (Grèce antique,chitoncnemides.png,Bas / pieds,Anachronique,"Les cnémides de bronze sont des jambières protège-tibias portées par les hoplites, les soldats de la Grèce Antique.
",
,Lance hoplite,lancehoplite,Lance Hoplite,lancehoplite.png,Accessoire,Anachronique,"La lance (Doru) hoplites est l'une des armes favorites des hoplites, ces soldats de la Grèce Antique. Elle mesurait 2 à 3 mètres.",
,Bouclier hoplite,bouclierhoplite,Bouclier rond Hoplite,bouclierhoplite.png,Accessoire,Anachronique,"Les hoplites, soldats de la Grèce Antique, portaient un bouclier rond pour se protéger.",Validé
19e siècle,Chapeau haut de forme,chapeauhf,Chapeau haut de forme (19e),chapeauhf.png,Tête,Humour,,
,Cravate et broche,cravatebroche,Cravate nouée du 19e avec broche,cravatebroche.png,Cou,Humour,,
,Redingote,redingote,Redingote cintrée homme 19e,redingote.png,Haut,Humour,,
,Pantalon 19e,pantalon19,Pantalon du 19e siècle,pantalon19.png,Bas / pieds,Humour,,
,Canne,canne,Canne luxueuse,canne.png,Accessoire,Humour,,
Egypte Ancienne,Perruque,perruqueor,Perruque égyptienne  avec perles en or,perruqueor.png,Tête,Anachronique,Reconsitution d'une perruque avec perles portée en Egypte Ancienne. Ces coiffes élégantes pouvaient être parfumées.,
,Collier en or,collieror,Collier de la princesse égyptienne Neferouptah (or et pierres précieuses),collieror.png,Cou,Anachronique,Reconstitution d'un collier en or et pierres précieuses de la noblesse égyptienne de la XIIe dynastie.,
,Tunique en lin,tuniquelin,Tunique en lin conservée au louvre,tuniquelin.png,Haut,Anachronique,Reconstitution d'une tunique en lin plissée portée en Egypte Ancienne. Certaines de ces robes ont été très bien conservées dans les tombes Egyptienne. ,
,Sandales en cuir,sandalecuir,Sandales égyptiennes avec décor,sandalecuir.png,Bas / pieds,Anachronique,"Paire de sandales décorées, prisée durant l'antiquité égyptienne. Les égyptologues ont retrouvé, dans les tombes, des sandales avec des décors symboliques.",
,Sceptre heqa,sceptreheqa,Sceptre Heqa conservé au Louvre,sceptreheqa.png,Accessoire,Anachronique,"Sceptre Heqa
Le sceptre Heqa est un symbole de pouvoir du Pharaon. Il a la forme d'une crosse utilisée autrefois par les berger pour ramener les animaux dans leur troupeau. Ainsi, ce sceptre montre que le Pharaon rassemble et conduit son peuple.",